Associated Gene Name	RefSeq Predicted Protein ID [e.g. XP_001720922]
MT-ND1	
MT-ND2	
MT-CO1	
MT-CO2	
MT-ATP8	
MT-ATP6	
MT-CO3	
MT-ND3	
MT-ND4L	
MT-ND4	
MT-ND5	
MT-ND6	
MT-CYB	
HLA-DOB	
MC2R	
GOLGA6D	
DCD	
BRK1	
WFS1	
HSPB3	
CLDN6	
CLDN8	
OR5M9	
YPEL5	
CBR3	
OTP	
CEBPA	
POPDC3	XP_011534371
POPDC3	XP_011534370
POPDC3	XP_011534372
POPDC3	XP_011534369
POPDC3	
DYNLRB1	
CH507-9B2.2	
KRTAP19-5	
C2orf88	
DEFB125	
C2orf88	XP_011510284
C2orf88	XP_005246962
C2orf88	XP_011510287
C2orf88	XP_011510286
C2orf88	XP_011510285
C2orf88	XP_006712858
TRAF6	
C2orf88	XP_011510288
C2orf88	XP_011510289
ASIC2	
LRRC41	
XXbac-BPG32J3.19	
FAM20C	
CARD6	
SYT8	
LRRC41	XP_005270433
CPA4	
ATXN7L1	XP_011514239
ATXN7L1	XP_005250277
ATXN7L1	XP_006715964
ATXN7L1	XP_011514237
ATXN7L1	XP_006715965
ATXN7L1	XP_011514241
ATXN7L1	XP_011514242
ATXN7L1	
RSPH3	
AHSA1	XP_011534663
RSPH3	XP_005267210
ATXN7L1	XP_011514251
PAXBP1	
AHSA1	
ATXN7L1	XP_011514243
ATXN7L1	XP_011514244
ATXN7L1	XP_011514245
ATXN7L1	XP_011514246
ATXN7L1	XP_005250278
ATXN7L1	XP_011514256
CYFIP1	
ZNF790	
SYT8	XP_011518757
SYT8	XP_011518759
SYT8	XP_011518760
FTCDNL1	
ZNF790	XP_005258959
ZNF790	XP_011525252
ZNF790	XP_005258960
ZNF790	XP_005258961
CBLN3	
KIR2DS4	
GOLGA6L4	
SPINT3	
INTU	
WDR83OS	
FBXW12	XP_011531908
CH507-9B2.1	XP_011544381
CH507-9B2.1	XP_006723963
FBXW12	
PIGF	
CH507-9B2.1	
INTU	XP_011530146
INTU	XP_011530147
INTU	XP_011530148
FGF7	
PIGF	XP_011531210
DEFB126	
VHL	
CAMKMT	
SGK494	
DCBLD1	XP_011534075
RP11-474G23.1	
DCBLD1	XP_005266998
DCBLD1	XP_011534072
DCBLD1	XP_011534073
DCBLD1	XP_011534074
DCBLD1	XP_006715526
ZFP30	
GOLGA6C	
MAG	
DCBLD1	
ZFP30	XP_006723150
ZFP30	XP_006723151
ZFP30	XP_011524941
ZFP30	XP_011524932
ZFP30	XP_011524937
ZNF595	XP_011511700
ZFP30	XP_005258722
ZFP30	XP_011524942
ZFP30	XP_011524934
ZFP30	XP_011524940
ZFP30	XP_011524938
ZFP30	XP_011524935
ZFP30	XP_011524939
ZFP30	XP_011524936
ZFP30	XP_011524933
ZNF595	
SPDYE6	XP_006716168
SPDYE6	XP_011514848
GZF1	XP_005260857
GZF1	XP_005260854
GZF1	
C1QB	
OR2A14	
GZF1	XP_011527623
GZF1	XP_011527624
GZF1	XP_006723670
DEFB127	
CHSY1	
C1QB	XP_011540361
RING1	
LINC01556	
C21orf62	
C21orf62	XP_011545334
CXCR1	
LY6G6D	
HLA-E	
C21orf62-AS1	
RAB9B	
RMI1	
SPATA9	XP_011541968
RMI1	XP_005252268
RMI1	XP_005252270
RMI1	XP_011517336
TTC39B	XP_011516034
TMX3	XP_011524334
TMX3	XP_005266771
TMX3	XP_011524335
SPATA9	
SPATA9	XP_011541966
SPATA9	XP_011541967
FAM81B	XP_005271962
EFCAB1	
FAM81B	
PRSS8	
TMX3	
TTC39B	
KRTAP4-12	
SCGB3A1	
MUC6	
PNO1	
PHF14	
KRTAP4-6	
AC092835.2	
MUC6	XP_006725595
EFCAB1	XP_011515891
EFCAB1	XP_005251360
SSRP1	XP_005274251
SSRP1	XP_011543520
ZNF800	XP_006715930
ZNF800	XP_006715931
ZNF800	XP_011514161
EFCAB1	XP_005251361
MRPS18A	
LRGUK	XP_011514102
SSRP1	
ZNF800	XP_005250238
CRKL	
PHF14	XP_011513925
PHF14	XP_011513926
MRPS18A	XP_006715197
ZNF800	
MAGOH	
KRTAP4-5	
KRTAP24-1	
ZNF800	XP_005250236
KIF20A	
PHF14	XP_011513921
PHF14	XP_011513922
PHF14	XP_011513923
PHF14	XP_011513924
PHF14	XP_011513927
ZNF670-ZNF695	
B3GALT4	
STAP1	XP_005265732
CCL14	
STAP1	XP_006714238
ALOX5AP	
OR2AE1	
COPS6	
TMEM126A	
FILIP1	XP_005248772
FILIP1	XP_005248770
TLR5	XP_006711569
TLR5	XP_005273298
TLR5	XP_006711568
TLR5	XP_006711567
TLR5	XP_011508239
TLR5	XP_005273299
TLR5	
RGAG4	
TLR5	XP_005273300
FILIP1	
DRICH1	
OR5D16	
DRICH1	XP_011528508
DRICH1	XP_011528509
DRICH1	XP_011528510
DRICH1	XP_011528512
C3orf52	
DEFB113	
C1QTNF7	
AKAP14	
ZNF730	
CEP290	
KIR3DL2	
C1QTNF7	XP_011512074
DCTD	XP_005262838
DCTD	XP_005262839
CSNK1A1L	
OXT	XP_011527540
KIR3DL2	XP_011545458
SMPDL3B	XP_011539561
TBC1D23	
RBM15B	
AC005779.2	
SMPDL3B	
C1QTNF7	XP_011512075
SHANK3	
SEPHS2	
ATP2B2	XP_011532055
ATP2B2	XP_011532057
ATP2B2	XP_011532058
ATP2B2	XP_006713238
ATP2B2	XP_011532053
ATP2B2	XP_005265236
ATP2B2	XP_011532054
MYC	
TUBGCP5	
WDFY3	XP_011530059
WDFY3	XP_005262915
WDFY3	XP_011530060
WDFY3	XP_011530061
WDFY3	XP_011530062
WDFY3	XP_011530063
WDFY3	XP_011530064
WDFY3	XP_011530067
WDFY3	XP_011530066
WDFY3	XP_011530065
ATP2B2	
PRR23D1	XP_006725124
PRR23D1	XP_011544821
TUBGCP5	XP_006725237
ATP2B2	XP_011532056
ATP2B2	XP_011532060
ATP2B2	XP_011532059
WDFY3	
CCL3	
SERPINA5	
CTAGE15	
KRTCAP3	XP_005264255
HLA-DPB1	
ZNF154	
MORC2	XP_011528305
MORC2	XP_011528306
MORC2	XP_011528307
DCTD	
KRTCAP3	
LENG1	
GNAI1	
ACSF3	
EXOC3L2	
SLC14A2	XP_011524518
MORC2	
SLC14A2	
DCTD	XP_005262835
DCTD	XP_011529976
TEX40	
AP000349.2	
PCDHB10	
CCDC114	XP_005259471
CCDC114	XP_005259470
CCDC114	XP_005259472
CCDC114	XP_011525817
CCDC114	XP_011525818
SLC14A2	XP_011524519
AMT	
AC006449.2	
QSOX2	
MORC2	XP_011528308
CT47A7	
AC024361.1	
AC018902.1	
GMPR	XP_011512810
DCTD	XP_005262837
DCTD	XP_005262836
HCN3	XP_011508119
CR388407.1	
CXorf21	
HOXC8	
MBOAT7	XP_011546473
RDH13	
MBOAT7	
PKHD1L1	XP_011515673
PKHD1L1	XP_011515674
PKHD1L1	XP_011515675
PKHD1L1	XP_011515676
PKHD1L1	XP_011515677
PLCXD1	XP_006724928
PLCXD1	XP_011543935
PLCXD1	XP_006724930
PLCXD1	XP_006724929
PLCXD1	XP_006724509
PLCXD1	XP_006724507
CHRNB4	XP_011519488
CHRNB4	XP_011519489
CHRNB4	XP_011519490
PKHD1L1	
AC073072.1	
CHRNB4	
RHBDF1	XP_006720984
RHBDF1	XP_011520900
RHBDF1	XP_011520901
RHBDF1	XP_005255555
RHBDF1	XP_005255551
RNF217	
PLCXD1	
MTMR10	XP_006725609
MTMR10	XP_011545709
MTMR10	XP_011545710
MTMR10	XP_011545711
MTMR10	XP_006725610
MTMR10	
PLCXD1	XP_011544482
AC145212.2	
AC236040.1	
PFDN6	
RNF217	XP_011533802
RHBDF1	
LMNB2	XP_011526680
TAF9	
SLC16A4	XP_005271374
CHMP4B	
CBLN1	
CR759815.1	
PLCXD1	XP_006724508
SLC16A4	
GP6	
RANBP2	XP_005264061
RANBP2	XP_005264059
RANBP2	XP_011509877
RANBP2	XP_005264060
RANBP2	XP_005264062
RANBP2	XP_011509878
RANBP2	XP_005264064
RANBP2	XP_011509880
MAN2B1	XP_005259970
RANBP2	
U51561.1	
MAN2B1	
NLRP2	
RNF217	XP_011533796
PSMB9	
CDY2B	
ACSF3	XP_005256350
UBE2Q1	
EIF4EBP2	
ETV5	
NCR1	
MBD4	
SLC37A3	
CTD-2369P2.12	
MRGPRD	
AC109829.2	
CLSTN1	
AL139333.1	
TECPR2	XP_005268303
SLC16A4	XP_005271375
DGKK	
SLC16A4	XP_006711096
TECPR2	
LMCD1	XP_011531951
NAALADL1	
COX11	
AP005242.1	
RBMX	
GUCA1B	
LMCD1	
GTPBP6	XP_011543938
GTPBP6	XP_006724510
GTPBP6	XP_011544485
MBD4	XP_011511570
B3GNT8	XP_011525236
TRAPPC12	XP_011508657
TRAPPC12	XP_011508658
TRAPPC12	XP_005264750
CRISPLD1	
AL356585.2	
APELA	
NOTO	
GOLGA8J	XP_011547236
GOLGA8J	XP_011545716
GOLGA8J	XP_011520293
GOLGA8J	XP_011547242
GOLGA8J	XP_011547247
GOLGA8J	XP_006725614
GOLGA8J	XP_011545723
TRAPPC12	XP_011508652
IGLV3-22	
ADAMTS15	XP_005271476
FNTA	
DEFB128	
IFNA13	
SOCS5	
TRAPPC12	
TIMM10	
MARCH3	
MBD4	XP_011511569
PSMG4	
KRTAP20-2	
FBXO40	
KCMF1	
AP000349.1	
COX11	XP_006721768
COX11	XP_006721767
COX11	XP_011522644
TMEM125	
CNNM3	
PRKCE	
CEP290	XP_011537065
CEP290	XP_011537058
CEP290	XP_011537059
CEP290	XP_011537060
CEP290	XP_011537061
CEP290	XP_011537062
CEP290	XP_011537063
CEP290	XP_011537064
DEFB129	
TMEM125	XP_011539007
TMEM125	XP_005270523
TMEM125	XP_005270524
TBC1D23	XP_011511276
IFITM10	
TRGC1	XP_011513709
NEU1	
NKAP	
FAM98A	
DPPA5	
C8orf44-SGK3	
CNNM3	XP_011509259
PRDM9	
TRIM39	
TAS2R50	
DHX16	
FANCD2OS	XP_011531632
ZNF670	
AC108938.5	
CCDC175	XP_011535422
CCDC175	XP_011535423
CCDC175	XP_011535424
CCDC175	XP_011535425
CCDC175	XP_011535426
FANCD2OS	
TANGO6	
RPS17	
CCDC54	
ZNF718	
VWA7	XP_005275373
KRTAP4-4	
FANCD2OS	XP_011531633
PIP	
SLC37A3	XP_011514929
CCDC175	
KCMF1	XP_006712115
DKKL1	
ACKR2	
