RefSeq Protein ID [e.g. NP_001005353]	Associated Gene Name
YP_003024026	MT-ND1
YP_003024027	MT-ND2
YP_003024028	MT-CO1
YP_003024029	MT-CO2
YP_003024030	MT-ATP8
YP_003024031	MT-ATP6
YP_003024032	MT-CO3
YP_003024033	MT-ND3
YP_003024034	MT-ND4L
YP_003024035	MT-ND4
YP_003024036	MT-ND5
YP_003024037	MT-ND6
YP_003024038	MT-CYB
	HLA-DOB
NP_001278840	MC2R
NP_000520	MC2R
	MC2R
NP_001138696	GOLGA6D
NP_444513	DCD
NP_060932	BRK1
	DCD
	WFS1
	GOLGA6D
NP_001287783	DCD
NP_006299	HSPB3
	CLDN6
NP_002111	HLA-DOB
NP_955360	CLDN8
NP_001139325	WFS1
NP_005996	WFS1
NP_067018	CLDN6
NP_001004743	OR5M9
NP_001120873	YPEL5
NP_001120872	YPEL5
NP_057145	YPEL5
NP_001120871	YPEL5
NP_001227	CBR3
NP_115485	OTP
	YPEL5
NP_001274364	CEBPA
NP_001274353	CEBPA
NP_001272758	CEBPA
NP_004355	CEBPA
NP_071756	POPDC3
	POPDC3
NP_001268656	DYNLRB1
NP_054902	DYNLRB1
	CH507-9B2.2
NP_853642	KRTAP19-5
	DYNLRB1
	C2orf88
NP_697020	DEFB125
NP_001035986	C2orf88
NP_004611	TRAF6
NP_665802	TRAF6
NP_001035985	C2orf88
NP_001035984	C2orf88
NP_115697	C2orf88
NP_899233	ASIC2
NP_001085	ASIC2
	LRRC41
	XXbac-BPG32J3.19
NP_064608	FAM20C
NP_115976	CARD6
	SYT8
	CARD6
NP_057436	CPA4
NP_065776	ATXN7L1
NP_006360	LRRC41
NP_612504	ATXN7L1
	RSPH3
	AHSA1
	ATXN7L1
NP_114130	RSPH3
	PAXBP1
	CPA4
NP_036243	AHSA1
NP_689962	ATXN7L1
NP_001156918	CPA4
NP_055423	CYFIP1
NP_996777	ZNF790
	ZNF790
NP_001274739	CYFIP1
NP_001277263	SYT8
NP_612634	SYT8
NP_001277261	SYT8
NP_001277262	SYT8
	CYFIP1
	FTCDNL1
NP_001229729	ZNF790
NP_001229730	ZNF790
NP_001229731	ZNF790
NP_001034860	CBLN3
NP_036446	KIR2DS4
	CBLN3
NP_001254465	GOLGA6L4
	GOLGA6L4
NP_006643	SPINT3
	INTU
NP_057229	WDR83OS
	WDR83OS
NP_996985	FBXW12
	CH507-9B2.1
	FBXW12
NP_002634	PIGF
NP_001153401	FBXW12
NP_056508	INTU
NP_001153399	FBXW12
	PIGF
	FGF7
NP_775097	PIGF
NP_112193	DEFB126
NP_000542	VHL
NP_937799	VHL
NP_002000	FGF7
	CAMKMT
	SGK494
NP_775945	DCBLD1
	RP11-474G23.1
	DCBLD1
	ZFP30
NP_001157876	GOLGA6C
NP_001167574	SGK494
	MAG
NP_055713	ZFP30
NP_872330	ZNF595
NP_079042	CAMKMT
NP_001272982	ZNF595
NP_001272983	ZNF595
NP_001139682	SPDYE6
NP_001272981	ZNF595
	GZF1
	ZNF595
	C1QB
NP_001001659	OR2A14
NP_071927	GZF1
	OR2A14
NP_620713	DEFB127
NP_055733	CHSY1
NP_000482	C1QB
NP_002922	RING1
	LINC01556
NP_062542	C21orf62
NP_001155968	C21orf62
	C21orf62
NP_001155967	C21orf62
NP_000625	CXCR1
NP_067069	LY6G6D
	LY6G6D
NP_005507	HLA-E
	C21orf62-AS1
NP_057454	RAB9B
	RMI1
	SPATA9
NP_079221	RMI1
NP_001161811	TTC39B
NP_689787	TTC39B
NP_061895	TMX3
NP_114158	SPATA9
NP_002352	MAG
NP_689761	FAM81B
NP_542167	MAG
	EFCAB1
	FAM81B
NP_002764	PRSS8
NP_001186145	MAG
	TMX3
	TTC39B
NP_114060	KRTAP4-12
	PRSS8
NP_001161814	TTC39B
NP_443095	SCGB3A1
	MUC6
NP_064528	PNO1
	PHF14
	PNO1
NP_112238	KRTAP4-6
	AC092835.2
NP_005952	MUC6
NP_078869	EFCAB1
NP_003137	SSRP1
	ZNF800
NP_001161812	TTC39B
NP_001161813	TTC39B
NP_060605	MRPS18A
NP_653249	LRGUK
	SSRP1
NP_001180272	MRPS18A
NP_001136329	EFCAB1
NP_789784	ZNF800
NP_005198	CRKL
NP_055475	PHF14
	MRPS18A
	CRKL
NP_002361	MAGOH
NP_149445	KRTAP4-5
NP_001078924	KRTAP24-1
	MAGOH
	KIF20A
	ZNF670-ZNF695
NP_003773	B3GALT4
NP_036240	STAP1
	CCL14
	STAP1
NP_001620	ALOX5AP
NP_001005276	OR2AE1
NP_001191335	ALOX5AP
NP_006824	COPS6
	TMEM126A
NP_001287795	FILIP1
NP_116739	CCL14
	COPS6
NP_001276916	FILIP1
NP_056502	FILIP1
NP_003259	TLR5
	TLR5
NP_116738	CCL14
	RGAG4
NP_001231664	TMEM126A
NP_001019626	RGAG4
	FILIP1
NP_057533	DRICH1
NP_001005496	OR5D16
	DRICH1
NP_115649	TMEM126A
	C3orf52
NP_001032818	DEFB113
	C1QTNF7
NP_848928	AKAP14
NP_078892	C3orf52
	ZNF730
	CEP290
NP_006728	KIR3DL2
NP_001128642	C1QTNF7
NP_001008535	AKAP14
NP_005724	KIF20A
	AKAP14
	DCTD
NP_001264332	ZNF730
NP_660204	CSNK1A1L
NP_000906	OXT
NP_001008534	AKAP14
NP_001229796	KIR3DL2
NP_001165218	C3orf52
NP_001291508	SMPDL3B
NP_055289	SMPDL3B
	TBC1D23
NP_037418	RBM15B
	AC005779.2
	SMPDL3B
NP_001009568	SMPDL3B
NP_114117	C1QTNF7
NP_277052	SHANK3
NP_001128643	C1QTNF7
NP_036380	SEPHS2
	SHANK3
	ATP2B2
	MYC
	TUBGCP5
NP_055806	WDFY3
NP_001674	ATP2B2
NP_001269408	PRR23D1
NP_443135	TUBGCP5
	WDFY3
NP_002974	CCL3
NP_001096080	TUBGCP5
	SERPINA5
NP_001008747	CTAGE15
